City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
312,Matay,EG,28.419,30.7792,66.83,26,100,8.81,overcast clouds
313,The Village,US,35.5609,-97.5514,24.01,93,90,14.97,mist
314,Vinh,VN,18.6667,105.6667,64.49,89,100,6.85,overcast clouds
315,Hay River,CA,60.8156,-115.7999,-25.6,62,100,20.71,overcast clouds
316,Sol-Iletsk,RU,51.1631,54.9918,-18.72,87,18,8.79,few clouds
317,Reconquista,AR,-29.15,-59.65,87.48,37,75,2.68,broken clouds
318,Norman Wells,CA,65.282,-126.8329,-27.4,68,1,9.22,clear sky
319,Arraial Do Cabo,BR,-22.9661,-42.0278,73.4,94,75,6.15,heavy intensity rain
320,Acarau,BR,-2.8856,-40.12,80.08,84,84,12.8,moderate rain
321,Taltal,CL,-25.4,-70.4833,69.26,67,29,7.85,scattered clouds
322,Nha Trang,VN,12.25,109.1833,77.0,69,20,4.61,few clouds
323,Prince Rupert,CA,54.3161,-130.3201,30.2,46,90,8.05,overcast clouds
324,Ambilobe,MG,-13.2,49.05,75.43,92,100,1.59,overcast clouds
325,San Felice Sul Panaro,IT,44.8332,11.1426,50.0,96,67,3.0,moderate rain
326,Tabou,CI,4.423,-7.3528,78.15,87,100,3.89,overcast clouds
327,Iqaluit,CA,63.7506,-68.5145,23.0,86,75,4.61,broken clouds
328,Kautokeino,NO,69.0125,23.0412,3.74,92,94,3.2,overcast clouds
329,Champerico,GT,14.3,-91.9167,87.8,62,40,13.8,scattered clouds
330,Rehoboth,NA,-23.3167,17.0833,77.29,33,45,6.24,scattered clouds
331,Sur,OM,22.5667,59.5289,64.6,77,82,1.9,broken clouds
332,Nanortalik,GL,60.1432,-45.2371,29.16,91,84,13.65,broken clouds
333,Xichang,CN,27.8964,102.2634,42.1,66,100,0.36,overcast clouds
334,Lages,BR,-27.8161,-50.3261,65.77,65,37,3.85,light rain
335,Vardo,NO,70.3705,31.1107,23.0,86,75,13.8,broken clouds
336,Hervey Bay,AU,-25.2986,152.8535,77.0,72,47,5.99,scattered clouds
337,Gornopravdinsk,RU,60.05,69.9,-18.38,88,53,3.31,broken clouds
338,Baruun-Urt,MN,46.6806,113.2792,4.53,91,0,10.07,clear sky
339,Sobolevo,RU,54.4299,31.8996,7.23,92,100,11.27,light snow
340,Port Hedland,AU,-20.3167,118.5667,75.2,83,0,10.36,clear sky
341,Bengkulu,ID,-3.8004,102.2655,75.63,75,91,5.32,overcast clouds
342,Ivaipora,BR,-24.2478,-51.6847,68.04,79,0,3.44,clear sky
343,Kohlu,PK,29.8962,69.252,49.28,43,33,1.9,scattered clouds
344,Khandyga,RU,62.6667,135.6,-30.01,83,61,3.15,broken clouds
345,Tupik,RU,54.4253,119.9327,-7.8,87,61,1.92,broken clouds
